timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-24 18:54:29,Travis Scott Presents PS5 Is the Most Extraordinary Marketing You'll See in 2020 https://t.co/6r0W4qDMeW by @_get2sammyb #sony,b'LeanneCCrisp',['sony'],7098
2020-10-24 18:38:16,"The upsides and downsides of being a DJ in the era of CDs. I couldn’t bring myself to throw these (or ~700 other favorites) away, so here’s their final resting place. See any albums you recognize? • #CDs #Music #AlbumArt #Nostalgia #LifeOfADJ #Sony https://t.co/fjUtClc6L9",b'DynamicDaddio',"['CDs', 'Music', 'AlbumArt', 'Nostalgia', 'LifeOfADJ', 'Sony']",461
2020-10-24 18:30:00,Sony Issues Statement On PS5 Release Date For Southeast Asian Countries https://t.co/ZiVeEr6Gsl  #PS5 #SoutheastAsia #Sony #Statement #News #Repost https://t.co/MuP29vPzSm,b'PSUdotcom',"['PS5', 'SoutheastAsia', 'Sony', 'Statement', 'News', 'Repost']",35324
2020-10-24 18:28:24,Went to the Schwarzwald today and took some shots of @sven.295 and @jat.093 cars 🙏🏼#335i #n55 #bmw #sony #sonyalpha #sonyalpha6000 #sigma30mmf14 @ Schwarzwald https://t.co/IQ5e0E3fnB,b'RandomGuyMaik',"['335i', 'n55', 'bmw', 'sony', 'sonyalpha', 'sonyalpha6000', 'sigma30mmf14']",80
2020-10-24 18:17:34,"What is the point of giving celebrities who are paid millions, free PS5 and free XBox when it's us gamers who spent our hard earned salary on those companies #Playstation #sony #xbox #Microsoft",b'lamelas26',"['Playstation', 'sony', 'xbox', 'Microsoft']",4
2020-10-24 18:10:32,Beautiful night ❤️ #Bodø Check out my accounts😊👇🏻👇🏻  https://t.co/CtBOf75IrW https://t.co/BpEyOmvC4e…                 #SonyAlpha #sony @Visitbodo @visitnorway https://t.co/NnvcPV1Yd2,b'ahmedha63700131',"['Bodø', 'SonyAlpha', 'sony']",27
2020-10-24 18:09:50,PlayStation 5: What’s inside the box? #Sony #PlayStation5 #PlayStation #PS #PS5 #Gaming #PS5Box #Playstation5Box #Playstation5BoxContents #Playstation5Updates #Playstation5News #PS5Updates #PS5News #PlayStation5Console https://t.co/cq5vxim3XD https://t.co/PpGliKoO8S,b'BookGamez',"['Sony', 'PlayStation5', 'PlayStation', 'PS', 'PS5', 'Gaming', 'PS5Box', 'Playstation5Box', 'Playstation5BoxContents', 'Playstation5Updates', 'Playstation5News', 'PS5Updates', 'PS5News', 'PlayStation5Console']",1
2020-10-24 18:06:04,Sony why can’t you make a decent controller? Fuckin hell. This is my third dualshock 4 and the analog is drifting. AGAIN. $70 for this bullshit #PlayStation4 #sony,b'kayoteek',"['PlayStation4', 'sony']",97
2020-10-24 18:06:04,Getting ready for  #spidermanmilesmorales #spiderman #spidermanps4 #spidermanps5 #milesmoralesps5 #milesmorales #sony #playstation #gamer #gaming #marvel #thwip @insomniacgames #BeGreater #beyourself https://t.co/AVWcf46XfR,b'LitoLarj',"['spidermanmilesmorales', 'spiderman', 'spidermanps4', 'spidermanps5', 'milesmoralesps5', 'milesmorales', 'sony', 'playstation', 'gamer', 'gaming', 'marvel', 'thwip', 'BeGreater', 'beyourself']",36
2020-10-24 18:03:04,Retweet if you have played Killzone Shadow Fall! #sony #gamers #ps4 #videogaming #gamersunite https://t.co/PSJUKGfUHj,b'ogreatgames1',"['sony', 'gamers', 'ps4', 'videogaming', 'gamersunite']",1807
