timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-30 16:46:40,No #Huawei in Indian #5G network as per Telecom operators applications with OEMs details. @State_SCA @SecPompeo https://t.co/gxhf00wtkT,b'pawankaushal',"['Huawei', '5G']",3719
2020-10-30 16:19:04,"Huawei has announced that its forthcoming Mate40 smartphone series will include an integrated hardware wallet for China’s central bank digital currency, the digital yuan.  #huawei #samsung #pro #iphone #huaweip #xiaomi #apple #oppo #photography #p #vivo #smartphone #android https://t.co/fYbXvq4xDJ",b'CryptonewsGames',"['huawei', 'samsung', 'pro', 'iphone', 'huaweip', 'xiaomi', 'apple', 'oppo', 'photography', 'p', 'vivo', 'smartphone', 'android']",563
2020-10-30 16:18:30,@AppGallery thanks for the present 🙏😍 #sskotz #AppGallery #huawei #SaintSeiya https://t.co/hD2YMhHHHp,b'Arkounay',"['sskotz', 'AppGallery', 'huawei', 'SaintSeiya']",50
2020-10-30 16:18:25,"5 years on the nexus 6p is still one of my all time fav android phones, Def need a 6p 2.0 #nexus6p #google #huawei #android #phone #Smartphone  #2015",b'OMNIAxBM',"['nexus6p', 'google', 'huawei', 'android', 'phone', 'Smartphone']",60
2020-10-30 16:10:34,"@globaltimesnews Sure I think #huawei is still awaiting the official confirmation from other countries of it being banned . Just like #Italy, #Europe, #UK, #Canada, #Japan, #India etc.. ( It's a long list )..😉",b'dharma_shastr',"['huawei', 'Italy', 'Europe', 'UK', 'Canada', 'Japan', 'India']",41
2020-10-30 16:06:41,#BritishColumbia judge sides with #Huawei CFO on some claims – allows Meng’s lawyers to argue #US tried to trick #Canada #CdnPoli #PQPoli #ONPoli #NSPoli #BCPoli #ABPoli #MBPoli  #CAPol #USPol #USPoli #MXPoli #UKPol #EUPol #AUPol #NZPol #JAPPol #IndPol https://t.co/uXGvSN8Tqk,b'Tammy_Richard',"['BritishColumbia', 'Huawei', 'US', 'Canada', 'CdnPoli', 'PQPoli', 'ONPoli', 'NSPoli', 'BCPoli', 'ABPoli', 'MBPoli', 'CAPol', 'USPol', 'USPoli', 'MXPoli', 'UKPol', 'EUPol', 'AUPol', 'NZPol', 'JAPPol', 'IndPol']",867
2020-10-30 16:05:24,NEC to support 5G networks in UK as alternative to Huawei https://t.co/1MAnmp2ACG #NEC #5G #Huawei #UK #Network #Support,b'TerigerUS',"['NEC', '5G', 'Huawei', 'UK', 'Network', 'Support']",14
2020-10-30 15:59:24,"🇨🇭 «The rules apply even if they don't fit #China.» – CDU foreign politician @n_roettgen has been warning about #Huawei for a long time. We visited him.  New issue of ""NZZ PRO Global» by @kamp66. #switzerland #mostshared https://t.co/01Ziqv4wfJ",b'imminent_news',"['China', 'Huawei', 'switzerland', 'mostshared']",6912
2020-10-30 15:56:55,Huawei releases new update for Mate Xs with September 2020 security patch and optimizations  #Huawei #huaweimateXs #Smartphone  #HuaweiMate40RS #UPDATE #EMUI11 #technews  https://t.co/HI7DfGbjhL,b'RPRNANews',"['Huawei', 'huaweimateXs', 'Smartphone', 'HuaweiMate40RS', 'UPDATE', 'EMUI11', 'technews']",1707
2020-10-30 15:56:42,"Global tablet shipment forecast, 2021 and beyond #Amazon #Android #Apple #Compal #CPU #Huawei #iPad #iPadAir #iPadmini #Microsoft #MicrosoftSurface #Samsung #SurfacePro #tablet #DIGITIMESResearch https://t.co/SiF3bxcI8C https://t.co/x9r1eyxBad",b'DigitimesDotCom',"['Amazon', 'Android', 'Apple', 'Compal', 'CPU', 'Huawei', 'iPad', 'iPadAir', 'iPadmini', 'Microsoft', 'MicrosoftSurface', 'Samsung', 'SurfacePro', 'tablet', 'DIGITIMESResearch']",3356
