timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-29 10:12:54,Super Mario Maker 2 #11 https://t.co/9F2aLE4w5u via @YouTube  #جيمرز  #العاب  #games #game  #sony #gaming   #يوتيوب #قيمز  #بلايستيشن #اكسبلور #دعم   #سوني  #Mario #ماريو #ماريو_ميكر #قناة #videogames #NintendoSwitch #ننتندو #smm2 #SMM #supermariomaker2 https://t.co/1wwYoWCEWn,b'HamadSocial',"['جيمرز', 'العاب', 'games', 'game', 'sony', 'gaming', 'يوتيوب', 'قيمز', 'بلايستيشن', 'اكسبلور', 'دعم', 'سوني', 'Mario', 'ماريو', 'ماريو_ميكر', 'قناة', 'videogames', 'NintendoSwitch', 'ننتندو', 'smm2', 'SMM', 'supermariomaker2']",12
2020-10-29 10:08:15,PlayStation 5 Will Launch in India on November 19th  #SonyPlayStation5 #Sony #PlayStation5 https://t.co/ghIojlqUCQ,b'9to5andr0id',"['SonyPlayStation5', 'Sony', 'PlayStation5']",93
2020-10-29 10:04:48,That #ps5 controller both gives goosebumps and has them.  #PlayStation5  #DuelSense #Sony https://t.co/4YtJiZVuC1,b'Trendnipotent',"['ps5', 'PlayStation5', 'DuelSense', 'Sony']",12
2020-10-29 10:02:54,@PlayStationEU Day  11 - Dragon Age Inquisition in 5 words   Iron Bull is a boss   #MonthOfPS4 #Sony #SwagDad https://t.co/h3uRkrO0K4,b'SuperScoots69',"['MonthOfPS4', 'Sony', 'SwagDad']",83
2020-10-29 10:02:09,BREAKING | Sony receives US license to supply Huawei with key image sensors. #Sony #Huawei https://t.co/nExpDmcANI,b'NikkeiAsia',"['Sony', 'Huawei']",224807
2020-10-29 10:00:29,Go through one of the most action packed adventures while fighting in World War 2 battles in Call of Duty Roads to Victory #sony #playstation #game #gaming #war https://t.co/nMMNgvSQLx,b'OgreatGames',"['sony', 'playstation', 'game', 'gaming', 'war']",14836
2020-10-29 10:00:07,The Japanese PS5 Launch Ad Actually Features Games https://t.co/YvaAeBO1wU #Sony #PS5 #Marketing https://t.co/mV0LBN9dg3,b'pushsquare',"['Sony', 'PS5', 'Marketing']",47330
2020-10-29 10:00:05,Strong year-on-year results for #Sony. And... they are very considerable demand for the new PS5 console launching in a couple weeks. https://t.co/B1iQBIlmYg https://t.co/j2UPnzHmg3,b'VinceGriffin7',['Sony'],18
2020-10-29 09:59:13,What you guys think of ps5 and xbox x? Who is better Sony or Microsoft? #Sony #ps5 #XboxSeriesX #microsoft,b'vrolon1990',"['Sony', 'ps5', 'XboxSeriesX', 'microsoft']",10
2020-10-29 09:50:01,"Ooh, Look! It's the Obligatory PS5 Pallet Picture https://t.co/NdB8CF2P0P #Repost #Sony #PS5 https://t.co/GJSPRlPcw5",b'pushsquare',"['Repost', 'Sony', 'PS5']",47330
2020-10-29 09:46:29,#Sony A7R Body | 357401 £299.99 - #Guildford... https://t.co/5FgOPZiHPb,b'LCEUsedCameras',"['Sony', 'Guildford']",1407
